source,prepared_image,caption
training/Ancientvolcamon vpet vb.png,datasets/vpet_lora/train/00022_Ancientvolcamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancientvolcamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ancientwisemon vpet vb.png,datasets/vpet_lora/train/00023_Ancientwisemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancientwisemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Andiramon deva vpet vb.png,datasets/vpet_lora/train/00024_Andiramon deva vpet vb.png,"vpet_style, vpet_left_pose, digimon, andiramon deva, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Andiramon vpet vb.png,datasets/vpet_lora/train/00025_Andiramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, andiramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Andromon vpet vb.png,datasets/vpet_lora/train/00026_Andromon vpet vb.png,"vpet_style, vpet_left_pose, digimon, andromon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Angemon vpet vb.png,datasets/vpet_lora/train/00027_Angemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, angemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Angewomon raid vpet vb.png,datasets/vpet_lora/train/00028_Angewomon raid vpet vb.png,"vpet_style, vpet_left_pose, digimon, angewomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Angoramon vpet vb.png,datasets/vpet_lora/train/00029_Angoramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, angoramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ankylomon vpet vb.png,datasets/vpet_lora/train/00030_Ankylomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ankylomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Anomalocarimon vpet vb.png,datasets/vpet_lora/train/00031_Anomalocarimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, anomalocarimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Anomalocarimonx vpet vb.png,datasets/vpet_lora/train/00032_Anomalocarimonx vpet vb.png,"vpet_style, vpet_left_pose, digimon, anomalocarimonx, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Anubimon vpet vb.png,datasets/vpet_lora/train/00033_Anubimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, anubimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Apocalymon raid vpet vb.png,datasets/vpet_lora/train/00034_Apocalymon raid vpet vb.png,"vpet_style, vpet_left_pose, digimon, apocalymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Apollomon vpet vb.png,datasets/vpet_lora/train/00035_Apollomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, apollomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Aquilamon vpet vb.png,datasets/vpet_lora/train/00036_Aquilamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, aquilamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Arbormon vpet vb.png,datasets/vpet_lora/train/00037_Arbormon vpet vb.png,"vpet_style, vpet_left_pose, digimon, arbormon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Archnemon vpet vb.png,datasets/vpet_lora/train/00038_Archnemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, archnemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Arcturusmon vpet vb.png,datasets/vpet_lora/train/00039_Arcturusmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, arcturusmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Arkhaiangemon vpet vb.png,datasets/vpet_lora/train/00040_Arkhaiangemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, arkhaiangemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Armadimon vpet vb.png,datasets/vpet_lora/train/00041_Armadimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, armadimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Armagemon vpet vb.png,datasets/vpet_lora/train/00042_Armagemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, armagemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Arresterdramon superior brave snatcher vpet vb.png,datasets/vpet_lora/train/00043_Arresterdramon superior brave snatcher vpet vb.png,"vpet_style, vpet_left_pose, digimon, arresterdramon superior brave snatcher, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Arresterdramon superior vpet vb.png,datasets/vpet_lora/train/00044_Arresterdramon superior vpet vb.png,"vpet_style, vpet_left_pose, digimon, arresterdramon superior, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Arresterdramon vpet vb.png,datasets/vpet_lora/train/00045_Arresterdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, arresterdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Astamon vpet vb.png,datasets/vpet_lora/train/00046_Astamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, astamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Asuramon vpet vb.png,datasets/vpet_lora/train/00047_Asuramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, asuramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Atlurballistamon vpet vb.png,datasets/vpet_lora/train/00048_Atlurballistamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, atlurballistamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Atlurkabuterimon red vpet vb.png,datasets/vpet_lora/train/00049_Atlurkabuterimon red vpet vb.png,"vpet_style, vpet_left_pose, digimon, atlurkabuterimon red, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Baalmon vpet vb.png,datasets/vpet_lora/train/00050_Baalmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, baalmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Babydmon vpet vb.png,datasets/vpet_lora/train/00051_Babydmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, babydmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bakemon vpet vb.png,datasets/vpet_lora/train/00052_Bakemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bakemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ballistamon vpet vb.png,datasets/vpet_lora/train/00053_Ballistamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ballistamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bancholilimon vpet vb.png,datasets/vpet_lora/train/00054_Bancholilimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bancholilimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Banchostingmon vpet vb.png,datasets/vpet_lora/train/00055_Banchostingmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, banchostingmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Baohackmon vpet vb.png,datasets/vpet_lora/train/00056_Baohackmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, baohackmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bastemon vpet vb.png,datasets/vpet_lora/train/00057_Bastemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bastemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bearmon vpet vb.png,datasets/vpet_lora/train/00058_Bearmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bearmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Beelzebumon 2010 vpet vb.png,datasets/vpet_lora/train/00059_Beelzebumon 2010 vpet vb.png,"vpet_style, vpet_left_pose, digimon, beelzebumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Beelzebumon blast vpet vb.png,datasets/vpet_lora/train/00060_Beelzebumon blast vpet vb.png,"vpet_style, vpet_left_pose, digimon, beelzebumon blast, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Beelzebumon vpet vb.png,datasets/vpet_lora/train/00061_Beelzebumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, beelzebumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Belialvamdemon vpet vb.png,datasets/vpet_lora/train/00062_Belialvamdemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, belialvamdemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Belphemon rage vpet vb.png,datasets/vpet_lora/train/00063_Belphemon rage vpet vb.png,"vpet_style, vpet_left_pose, digimon, belphemon rage, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bemmon vpet vb.png,datasets/vpet_lora/train/00064_Bemmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bemmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Beowolfmon vpet vb.png,datasets/vpet_lora/train/00065_Beowolfmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, beowolfmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Betelgammamon vpet vb.png,datasets/vpet_lora/train/00066_Betelgammamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, betelgammamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bibimon vpet vbbe.png,datasets/vpet_lora/train/00067_Bibimon vpet vbbe.png,"vpet_style, vpet_left_pose, digimon, bibimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bigmamemon vpet vb.png,datasets/vpet_lora/train/00068_Bigmamemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bigmamemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bigukkomon vpet vb.png,datasets/vpet_lora/train/00069_Bigukkomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bigukkomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Birdramon vpet vb.png,datasets/vpet_lora/train/00070_Birdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, birdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blackkingnumemon vpet vb.png,datasets/vpet_lora/train/00071_Blackkingnumemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, blackkingnumemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blacktailmon uver vpet vb.png,datasets/vpet_lora/train/00072_Blacktailmon uver vpet vb.png,"vpet_style, vpet_left_pose, digimon, blacktailmon uver, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blacktailmon vpet alysion.png,datasets/vpet_lora/train/00073_Blacktailmon vpet alysion.png,"vpet_style, vpet_left_pose, digimon, blacktailmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blackwargreymon vpet vb.png,datasets/vpet_lora/train/00074_Blackwargreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, blackwargreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bladekuwagamon vpet vb.png,datasets/vpet_lora/train/00075_Bladekuwagamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bladekuwagamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blastmon vpet vb.png,datasets/vpet_lora/train/00076_Blastmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, blastmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blitzgreymon vpet vb.png,datasets/vpet_lora/train/00077_Blitzgreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, blitzgreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blitzmon vpet vb.png,datasets/vpet_lora/train/00078_Blitzmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, blitzmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blizzarmon vpet vb.png,datasets/vpet_lora/train/00079_Blizzarmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, blizzarmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bloomlordmon vpet vb.png,datasets/vpet_lora/train/00080_Bloomlordmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bloomlordmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blossomon vpet vb.png,datasets/vpet_lora/train/00081_Blossomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, blossomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Blucomon vpet vb.png,datasets/vpet_lora/train/00082_Blucomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, blucomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bokomon vpet vb.png,datasets/vpet_lora/train/00083_Bokomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bokomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bolgmon vpet vb.png,datasets/vpet_lora/train/00084_Bolgmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bolgmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bombermon vpet vb.png,datasets/vpet_lora/train/00085_Bombermon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bombermon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bommon vpet vb.png,datasets/vpet_lora/train/00086_Bommon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bommon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bosamon vpet vb.png,datasets/vpet_lora/train/00087_Bosamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bosamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Botamon vpet vb.png,datasets/vpet_lora/train/00088_Botamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, botamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Boutmon vpet vbbe.png,datasets/vpet_lora/train/00089_Boutmon vpet vbbe.png,"vpet_style, vpet_left_pose, digimon, boutmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bowmon vpet vb.png,datasets/vpet_lora/train/00090_Bowmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bowmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Brachimon vpet vb.png,datasets/vpet_lora/train/00091_Brachimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, brachimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Breakdramon vpet vb.png,datasets/vpet_lora/train/00092_Breakdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, breakdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Brigadramon vpet vb.png,datasets/vpet_lora/train/00093_Brigadramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, brigadramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bryweludramon vpet vb.png,datasets/vpet_lora/train/00094_Bryweludramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bryweludramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bubbmon vpet vb.png,datasets/vpet_lora/train/00095_Bubbmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, bubbmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Bulkmon vpet vbbe.png,datasets/vpet_lora/train/00096_Bulkmon vpet vbbe.png,"vpet_style, vpet_left_pose, digimon, bulkmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Calamaramon vpet vb.png,datasets/vpet_lora/train/00097_Calamaramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, calamaramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cannonbeemon vpet vb.png,datasets/vpet_lora/train/00098_Cannonbeemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, cannonbeemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cannondramon vpet vb.png,datasets/vpet_lora/train/00099_Cannondramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, cannondramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Canoweissmon vpet vb.png,datasets/vpet_lora/train/00100_Canoweissmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, canoweissmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Caprimon vpet vb.png,datasets/vpet_lora/train/00101_Caprimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, caprimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cargodramon vpet vb.png,datasets/vpet_lora/train/00102_Cargodramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, cargodramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Caturamon vpet vb.png,datasets/vpet_lora/train/00103_Caturamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, caturamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cerberumon vpet vb.png,datasets/vpet_lora/train/00104_Cerberumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, cerberumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Chackmon vpet vb.png,datasets/vpet_lora/train/00105_Chackmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, chackmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Chamblemon vpet vb.png,datasets/vpet_lora/train/00106_Chamblemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, chamblemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Chaosdramon vpet vb.png,datasets/vpet_lora/train/00107_Chaosdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, chaosdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Chaosdukemon vpet vb.png,datasets/vpet_lora/train/00108_Chaosdukemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, chaosdukemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cherubimon raid vpet vb.png,datasets/vpet_lora/train/00109_Cherubimon raid vpet vb.png,"vpet_style, vpet_left_pose, digimon, cherubimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cherubimon vice raid vpet vb.png,datasets/vpet_lora/train/00110_Cherubimon vice raid vpet vb.png,"vpet_style, vpet_left_pose, digimon, cherubimon vice, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Chibimon vpet vb.png,datasets/vpet_lora/train/00111_Chibimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, chibimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Chicomon vpet vb.png,datasets/vpet_lora/train/00112_Chicomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, chicomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Chimairamon vpet vb.png,datasets/vpet_lora/train/00113_Chimairamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, chimairamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Choromon vpet vb.png,datasets/vpet_lora/train/00114_Choromon vpet vb.png,"vpet_style, vpet_left_pose, digimon, choromon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Climbmon vpet vb.png,datasets/vpet_lora/train/00115_Climbmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, climbmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cockatrimon vpet vb.png,datasets/vpet_lora/train/00116_Cockatrimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, cockatrimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Coelamon vpet vb.png,datasets/vpet_lora/train/00117_Coelamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, coelamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Commandramon vpet vb.png,datasets/vpet_lora/train/00118_Commandramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, commandramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Coredramon blue vpet vb.png,datasets/vpet_lora/train/00119_Coredramon blue vpet vb.png,"vpet_style, vpet_left_pose, digimon, coredramon blue, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Coredramon green vpet vb.png,datasets/vpet_lora/train/00120_Coredramon green vpet vb.png,"vpet_style, vpet_left_pose, digimon, coredramon green, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Coronamon vpet vb.png,datasets/vpet_lora/train/00121_Coronamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, coronamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cotsucomon vpet vb.png,datasets/vpet_lora/train/00122_Cotsucomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, cotsucomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Craniummon vpet alysion.png,datasets/vpet_lora/train/00123_Craniummon vpet alysion.png,"vpet_style, vpet_left_pose, digimon, craniummon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Crescemon vpet vb.png,datasets/vpet_lora/train/00124_Crescemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, crescemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Cresgarurumon vpet vb.png,datasets/vpet_lora/train/00125_Cresgarurumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, cresgarurumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
